servers:	1634								
{	10511	4	1.421	18.790	50	}			
{	10512	4	1.339	9.893	32	}			
{	10513	4	1.458	20.453	57	}			
{	10514	4	1.437	17.827	52	}			
{	10515	4	0.991	17.827	12	}			
{	10516	0	0.000	0.000	0	}			
{	10517	3	30.932	18.988	17	}			
{	10518	4	0.841	21.646	8	}			
{	10519	4	1.107	21.646	17	}			
{	10520	4	1.284	22.967	31	}			
{	10521	3	39.614	24.112	32	}			
{	10522	4	1.415	15.548	49	}			
{	10523	4	1.465	25.627	66	}			
{	10524	4	1.449	16.547	57	}			
{	10525	4	1.457	18.667	58	}			
{	10526	3	44.264	26.898	37	}			
{	10527	4	1.459	20.267	59	}			
{	10528	4	1.049	20.267	14	}			
{	10529	4	1.049	20.267	14	}			
{	10530	4	1.178	14.046	19	}			
{	10531	4	1.052	9.146	12	}			
{	10532	3	48.186	29.340	39	}			
{	10533	4	1.368	19.446	42	}			
{	10534	4	1.363	16.194	40	}			
{	10535	4	1.333	28.385	39	}			
{	10536	3	40.500	24.681	32	}			
{	10537	4	1.329	13.044	36	}			
{	10538	3	28.565	17.393	23	}			
{	10539	3	21.090	12.829	17	}			
{	10540	4	1.267	16.822	29	}			
{	10541	4	1.514	23.333	81	}			
{	10542	4	1.156	22.115	19	}			
{	10543	4	1.323	27.841	36	}			
{	10544	3	116.849	71.075	97	}			
{	10545	4	1.423	23.662	55	}			
{	10546	4	1.387	23.464	46	}			
{	10547	4	1.325	16.986	33	}			
{	10548	4	1.393	16.260	42	}			
{	10549	0	0.000	0.000	0	}			
{	10550	4	1.452	12.950	56	}			
{	10551	3	57.132	34.781	46	}			
{	10552	3	56.731	34.516	46	}			
{	10553	4	1.455	21.159	61	}			
{	10554	3	128.043	77.838	110	}			
{	10555	3	30.505	18.557	26	}			
{	10556	4	1.328	16.099	33	}			
{	10557	3	85.340	51.915	73	}			
{	10558	3	29.948	18.252	25	}			
{	10559	4	1.184	17.968	22	}			
{	10560	4	1.343	20.708	39	}			
{	10561	4	1.177	17.773	22	}			
{	10562	4	1.345	26.133	37	}			
{	10563	3	42.597	25.926	35	}			
{	10564	4	1.267	18.145	28	}			
{	10565	4	1.454	11.296	54	}			
{	10566	4	1.493	8.184	52	}			
{	10567	4	1.185	17.026	21	}			
{	10568	3	29.535	18.007	22	}			
{	10569	4	1.285	16.643	30	}			
{	10570	4	1.391	16.643	45	}			
{	10571	3	51.710	31.420	45	}			
{	10572	4	1.438	21.885	59	}			
{	10573	4	1.434	14.020	50	}			
{	10574	4	1.386	18.832	43	}			
{	10575	4	1.427	24.343	55	}			
{	10576	4	1.268	21.838	28	}			
{	10577	4	1.117	11.840	16	}			
{	10578	4	1.401	16.430	45	}			
{	10579	3	78.725	48.013	65	}			
{	10580	3	8.747	5.335	7	}			
{	10581	4	0.991	17.827	12	}			
{	10582	0	0.000	0.000	0	}			
{	10583	3	23.757	14.606	15	}			
{	10584	4	1.493	33.317	75	}			
{	10585	4	1.349	20.666	38	}			
{	10586	3	48.186	29.340	39	}			
{	10587	3	103.284	62.784	87	}			
{	10588	4	1.324	20.546	34	}			
{	10589	4	1.426	23.704	55	}			
{	10590	3	56.100	34.074	50	}			
{	10591	4	1.489	32.368	75	}			
{	10592	3	38.967	23.707	33	}			
{	10593	4	1.331	23.856	35	}			
{	10594	4	1.407	6.033	39	}			
{	10595	4	1.449	9.101	42	}			
{	10596	4	1.381	23.620	45	}			
{	10597	4	1.410	25.046	49	}			
{	10598	4	1.365	21.074	45	}			
{	10599	3	96.775	58.863	83	}			
{	10600	4	1.452	12.950	56	}			
{	10601	3	98.204	59.729	83	}			
{	10602	4	1.384	21.896	46	}			
{	10603	3	60.185	36.567	53	}			
{	10604	4	1.437	33.671	59	}			
{	10605	4	1.421	6.106	35	}			
{	10606	4	1.447	5.088	47	}			
{	10607	4	1.318	28.736	37	}			
{	10608	4	1.402	32.265	51	}			
{	10609	4	1.461	27.565	64	}			
{	10610	3	54.856	33.430	41	}			
{	10611	3	60.014	36.568	48	}			
{	10612	4	1.393	25.764	49	}			
{	10613	4	1.519	24.354	84	}			
{	10614	4	1.260	17.022	25	}			
{	11628	4	1.260	17.022	25	}			
{	10615	3	52.667	32.076	44	}			
{	10616	4	1.519	22.607	86	}			
{	10617	4	1.276	22.920	29	}			
{	10618	4	1.412	10.318	33	}			
{	10619	3	47.878	29.166	32	}			
{	10620	4	1.661	22.064	136	}			
{	10621	4	1.564	38.944	94	}			
{	10622	4	1.332	28.278	32	}			
{	10623	4	1.457	24.778	55	}			
{	10624	3	63.664	38.726	44	}			
{	10625	4	1.465	34.260	58	}			
{	10626	3	62.161	37.791	43	}			
{	10627	3	19.859	12.140	13	}			
{	10628	3	77.684	47.217	56	}			
{	10629	4	0.898	28.289	8	}			
{	10630	3	54.502	33.136	41	}			
{	10631	3	191.122	116.272	141	}			
{	10632	3	63.286	38.483	44	}			
{	10633	3	16.823	10.230	12	}			
{	10634	0	0.000	0.000	0	}			
{	10635	3	9.138	5.616	5	}			
{	10636	4	1.539	17.451	72	}			
{	10637	3	205.932	125.338	146	}			
{	10638	3	51.387	31.203	39	}			
{	10639	3	11.645	7.099	8	}			
