Regional Stop ID,BM Trip ID,BM Stop ID
27,147800,96059612
13,247800,80008006
37,247800,86028704
35,247800,87048804
33,247800,88048904
31,247800,89049605
27,247800,96059612
13,347800,80008006
37,347800,86028704
35,347800,87048804
33,347800,88048904
31,347800,89049605
27,347800,96059612
13,447800,80008006
37,447800,86028704
35,447800,87048804
33,447800,88048904
31,447800,89049605
27,447800,96059612
27,1111700,96108902
13,1111700,80058013
27,2111700,96108902
13,2111700,80058013
27,3111700,96108902
13,3111700,80058013
27,4111700,96108902
13,4111700,80058013
27,111700,96108902
13,111700,80058013
27,211700,96108902
13,211700,80058013
27,311700,96108902
13,311700,80058013
27,411700,96108902
13,411700,80058013
