Train 1124000 DTZ LEDN 22020 23520 _ 180 
TSP 20 1124000 DTZ DTZ 22020 22020 0 1
TMV 21 1124000 DTZ DT 22020 22092 72 1
TSP 22 1124000 DT DT 22092 22140 48 1
TMV 23 1124000 DT NGSFA 22140 22200 60 1
TSP 24 1124000 NGSFA NGSFA 22200 22200 0 1
TMV 39 1124000 NGSFA DTA 22200 22260 48 1
TSP 20 1124000 DTA DTA 22260 22260 0 4
TMV 19 1124000 DTA RSW 22260 22320 55 1
TSP 18 1124000 RSW RSW 22320 22320 0 4
TMV 17 1124000 RSW GVMW 22320 22380 50 4
TSP 16 1124000 GVMW GVMW 22380 22380 0 4
TMV 15 1124000 GVMW GV 22380 22560 148 1
TSP 14 1124000 GV GV 22560 22680 120 5
TMV 41 1124000 GV LAA 22680 22812 126 1
TSP 10 1124000 LAA LAA 22812 22860 48 4
TMV 9 1124000 LAA GVM 22860 22980 120 4
TSP 8 1124000 GVM GVM 22980 22980 0 3
TMV 7 1124000 GVM VST 22980 23160 160 3
TSP 6 1124000 VST VST 23160 23160 0 3
TMV 5 1124000 VST DVNK 23160 23220 60 3
TSP 4 1124000 DVNK DVNK 23220 23220 0 3
TMV 3 1124000 DVNK VKBR 23220 23220 0 1
TSP 2 1124000 VKBR VKBR 23220 23220 0 3
TMV 1 1124000 VKBR LEDN 23220 23395 124 1
TSP 0 1124000 LEDN LEDN 23395 23520 120 4
Train 1224001 LEDN DTZ 25080 26460 _ 180 
TSP 0 1224001 LEDN LEDN 25080 25200 120 6
TMV 1 1224001 LEDN VKBR 25200 25260 60 1
TSP 2 1224001 VKBR VKBR 25260 25260 0 2
TMV 3 1224001 VKBR DVNK 25260 25320 24 1
TSP 4 1224001 DVNK DVNK 25320 25320 0 2
TMV 5 1224001 DVNK VST 25320 25380 60 2
TSP 6 1224001 VST VST 25380 25380 0 2
TMV 7 1224001 VST GVM 25380 25560 162 1
TSP 8 1224001 GVM GVM 25560 25560 0 2
TMV 9 1224001 GVM LAA 25560 25692 86 2
TSP 10 1224001 LAA LAA 25692 25740 48 3
TMV 41 1224001 LAA GV 25740 25920 157 1
TSP 14 1224001 GV GV 25920 25980 60 3
TMV 15 1224001 GV GVMW 25980 26040 60 2
TSP 16 1224001 GVMW GVMW 26040 26040 0 2
TMV 17 1224001 GVMW RSW 26040 26100 51 1
TSP 18 1224001 RSW RSW 26100 26100 0 2
TMV 19 1224001 RSW DTA 26100 26160 51 1
TSP 20 1224001 DTA DTA 26160 26160 0 2
TMV 21 1224001 DTA DT 26160 26292 128 1
TSP 22 1224001 DT DT 26292 26340 48 2
